id,scene,lum,white,black,flags,secs,traits
11,antennae,0.2666981821895425,0.0185625,0.03398784722222222,,18,"{""Token"": ""#11 of 100"", ""Family"": ""Antennae"", ""Temperament"": ""patient"", ""Signature"": ""chase"", ""Variant"": ""\u2014"", ""Palette"": ""ember"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""on""}"
12,dust-storm,0.08855127314814815,0.002796875,0.4237222222222222,,16,"{""Token"": ""#12 of 100"", ""Family"": ""Dust Storm"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""nebula"", ""Channel"": ""density"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
13,cartwheel,0.32342930964052286,0.05057465277777778,0.05118576388888889,,36,"{""Token"": ""#13 of 100"", ""Family"": ""Cartwheel"", ""Temperament"": ""restless"", ""Signature"": ""chase"", ""Variant"": ""\u2014"", ""Palette"": ""ice"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
14,coma,0.09323176742919391,0.0009791666666666666,0.3388611111111111,,15,"{""Token"": ""#14 of 100"", ""Family"": ""Coma Cluster"", ""Temperament"": ""restless"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ember"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
15,milky-way,0.1842344566993464,0.0002986111111111111,0.14163541666666668,,14,"{""Token"": ""#15 of 100"", ""Family"": ""Milky Way"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""nebula"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
16,lattice,0.05577900326797386,0.00011805555555555556,0.48365277777777776,,25,"{""Token"": ""#16 of 100"", ""Family"": ""Lattice"", ""Temperament"": ""patient"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""vaporwv"", ""Channel"": ""speed"", ""Exposure"": ""short"", ""Spin"": ""retrograde"", ""Doppler"": ""on""}"
17,milky-way,0.21386795343137255,0.0009652777777777778,0.13085069444444444,,15,"{""Token"": ""#17 of 100"", ""Family"": ""Milky Way"", ""Temperament"": ""restless"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ember"", ""Channel"": ""mass"", ""Exposure"": ""long"", ""Spin"": ""none"", ""Doppler"": ""on""}"
18,coma,0.09200360838779956,0.0004809027777777778,0.3676579861111111,,12,"{""Token"": ""#18 of 100"", ""Family"": ""Coma Cluster"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""aurora"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""none"", ""Doppler"": ""off""}"
19,horsehead,0.13122635484749454,0.0,0.08757465277777778,,11,"{""Token"": ""#19 of 100"", ""Family"": ""Horsehead"", ""Temperament"": ""contemplative"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ember"", ""Channel"": ""mass"", ""Exposure"": ""long"", ""Spin"": ""none"", ""Doppler"": ""on""}"
20,horsehead,0.08375336328976034,0.0,0.3416579861111111,,10,"{""Token"": ""#20 of 100"", ""Family"": ""Horsehead"", ""Temperament"": ""patient"", ""Signature"": ""drift"", ""Variant"": ""\u2014"", ""Palette"": ""ice"", ""Channel"": ""mass"", ""Exposure"": ""short"", ""Spin"": ""retrograde"", ""Doppler"": ""off""}"
